Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 9 [15360/49000 (31%)]	Train Loss: 2.030581	Val Loss: 2.049958	Val Acc: 40
Train Epoch: 9 [20480/49000 (42%)]	Train Loss: 2.043540	Val Loss: 2.046903	Val Acc: 41
Train Epoch: 9 [25600/49000 (52%)]	Train Loss: 2.010471	Val Loss: 2.046477	Val Acc: 41
Train Epoch: 9 [30720/49000 (62%)]	Train Loss: 2.027896	Val Loss: 2.046148	Val Acc: 40
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 2.007502	Val Loss: 2.050752	Val Acc: 40
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 2.022162	Val Loss: 2.043367	Val Acc: 41
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 2.048219	Val Loss: 2.046906	Val Acc: 40
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 2.054510	Val Loss: 2.045753	Val Acc: 41
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 2.003354	Val Loss: 2.044021	Val Acc: 41
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 2.008434	Val Loss: 2.042677	Val Acc: 41
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 1.986299	Val Loss: 2.041469	Val Acc: 41
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 2.044846	Val Loss: 2.048901	Val Acc: 40
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 1.986703	Val Loss: 2.038318	Val Acc: 42
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 2.040573	Val Loss: 2.045557	Val Acc: 41
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 2.025599	Val Loss: 2.040977	Val Acc: 41
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 1.995132	Val Loss: 2.048252	Val Acc: 40
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 2.009264	Val Loss: 2.041573	Val Acc: 41

test set: Average loss: 2.0446, Accuracy: 4137/10000 (41%)

